bare_word	source_type_id	source_id	permanent_id
бабушка	2	1038	301453
крик	2	1039	524269
рот	2	1040	627616
сутки	2	1041	895331
ключ	2	1043	547995
процент	2	1045	482068
ощущение	2	1046	736334
остров	2	1048	964531
конь	2	1049	763287
театр	2	1052	346551
живот	2	1053	667901
производство	2	1054	257589
штаб	2	1055	867472
детство	2	1056	479654
сотня	2	1060	549214
стакан	2	1062	781257
материал	2	1066	933058
ужас	2	1067	671627
значение	2	1070	832360
труба	2	1071	427372
стихи	2	1074	523788
способ	2	1075	457003
обстоятельство	2	1076	392220
степень	2	1078	300093
Германия	2	1079	738542
СССР	2	1080	954424
волна	2	1083	104477
глубина	2	1088	925899
представитель	2	1090	353682
нож	2	1091	608153
рынок	2	1093	176686
шум	2	1094	436068
студент	2	1095	237885
впечатление	2	1096	547229
отдел	2	1098	752351
запад	2	1099	407854
очко	2	1100	467923
успех	2	1104	971556
инженер	2	1105	929074
население	2	1106	618355
пыль	2	1111	696891
знание	2	1115	556094
секретарь	2	1117	513784
ошибка	2	1119	180429
боец	2	1120	866748
масса	2	1122	288738
чёрт	2	1123	529032
царь	2	1125	360030
фигура	2	1129	806287
противник	2	1131	440174
даль	2	1132	650274
журнал	2	1135	406627
направление	2	1136	347148
победа	2	1139	262799
сотрудник	2	1141	594385
адрес	2	1150	183260
период	2	1152	718472
еврей	2	1153	676813
слух	2	1154	778407
клуб	2	1156	212076
хвост	2	1158	547873
предмет	2	1161	506051
лечение	2	1166	395915
зрение	2	1170	334185
беда	2	1176	850194
столица	2	1177	507927
обед	2	1178	179939
культура	2	1181	229822
высота	2	1183	984394
территория	2	1184	261396
костюм	2	1185	913692
попытка	2	1192	974896
дно	2	1193	233544
страница	2	1197	469175
еда	2	1200	349726
размер	2	1201	178953
предприятие	2	1204	805718
сцена	2	1205	517756
фотография	2	1211	724784
заболевание	2	1212	299137
принцип	2	1213	591688
миг	2	1214	526792
Европа	2	1215	742784
тётя	2	1219	574644
мастер	2	1221	439170
отряд	2	1222	537803
старуха	2	1223	486586
руководитель	2	1224	803181
житель	2	1225	337138
меч	2	1226	682268
господь	2	1229	374683
тюрьма	2	1231	500659
дворец	2	1236	574740
камера	2	1239	725845
существо	2	1241	427027
билет	2	1242	580838
фраза	2	1244	217594
америка	2	1246	221483
весна	2	1247	611271
лодка	2	1248	305208
фильм	2	1250	277404
больница	2	1252	127156
смех	2	1253	897523
специалист	2	1254	202807
